id,read1,read2,match,target,time
ce501,ENCFF174PXB,ENCFF305SWM,ENCFF174PXB_ENCFF305SWM,pag-3-celegans,880
ce502,ENCFF894PSD,ENCFF983NKR,ENCFF894PSD_ENCFF983NKR,pag-3-celegans,880
ce503,ENCFF055GPW,ENCFF157VSE,ENCFF055GPW_ENCFF157VSE,pag-3-celegans,80
ce504,ENCFF646BSX,ENCFF292VYW,ENCFF646BSX_ENCFF292VYW,pag-3-celegans,80
ce505,ENCFF684SZK,ENCFF783YLP,ENCFF684SZK_ENCFF783YLP,pag-3-celegans,680
ce506,ENCFF281VPJ,ENCFF272IWN,ENCFF281VPJ_ENCFF272IWN,pag-3-celegans,680
ce507,ENCFF503BUN,ENCFF060TVI,ENCFF503BUN_ENCFF060TVI,C08G9.2-celegans,80
ce508,ENCFF553DKP,ENCFF752SBX,ENCFF553DKP_ENCFF752SBX,C08G9.2-celegans,80
ce509,ENCFF519HLW,ENCFF440KBP,ENCFF519HLW_ENCFF440KBP,C08G9.2-celegans,80
ce510,ENCFF648BON,ENCFF559NKM,ENCFF648BON_ENCFF559NKM,C08G9.2-celegans,680
ce511,ENCFF682GWN,ENCFF632MNW,ENCFF682GWN_ENCFF632MNW,C08G9.2-celegans,680
ce512,ENCFF284RKH,ENCFF978SOS,ENCFF284RKH_ENCFF978SOS,C08G9.2-celegans,680
ce513,ENCFF716IXN,ENCFF451JUN,ENCFF716IXN_ENCFF451JUN,C08G9.2-celegans,850
ce514,ENCFF350DKS,ENCFF980VZO,ENCFF350DKS_ENCFF980VZO,C08G9.2-celegans,850
ce515,ENCFF767JFI,ENCFF854DTE,ENCFF767JFI_ENCFF854DTE,C08G9.2-celegans,850
ce516,ENCFF714VHW,ENCFF771FEK,ENCFF714VHW_ENCFF771FEK,C08G9.2-celegans,880
ce517,ENCFF518TLP,ENCFF488GFK,ENCFF518TLP_ENCFF488GFK,C08G9.2-celegans,880
ce518,ENCFF357HAY,ENCFF698USI,ENCFF357HAY_ENCFF698USI,pag-3-celegans,50
ce519,ENCFF635DWO,ENCFF106LKO,ENCFF635DWO_ENCFF106LKO,pag-3-celegans,50
ce520,ENCFF741LXH,ENCFF615HVM,ENCFF741LXH_ENCFF615HVM,pag-3-celegans,650
ce521,ENCFF888KYJ,ENCFF996MTH,ENCFF888KYJ_ENCFF996MTH,pag-3-celegans,650
ce522,ENCFF738RFL,ENCFF311ZBO,ENCFF738RFL_ENCFF311ZBO,pag-3-celegans,850
ce523,ENCFF479QSC,ENCFF008TDD,ENCFF479QSC_ENCFF008TDD,pag-3-celegans,850
ce524,ENCFF039HFX,ENCFF519TWJ,ENCFF039HFX_ENCFF519TWJ,C08G9.2-celegans,50
ce525,ENCFF950FWS,ENCFF776BKV,ENCFF950FWS_ENCFF776BKV,C08G9.2-celegans,50
ce526,ENCFF788RGV,ENCFF484CZW,ENCFF788RGV_ENCFF484CZW,C08G9.2-celegans,650
ce527,ENCFF524ZKX,ENCFF279FPM,ENCFF524ZKX_ENCFF279FPM,C08G9.2-celegans,650
ce528,ENCFF765OHU,ENCFF006YOH,ENCFF765OHU_ENCFF006YOH,pqm-1-celegans,350
ce529,ENCFF931UGN,ENCFF364AHT,ENCFF931UGN_ENCFF364AHT,pqm-1-celegans,350
ce530,ENCFF061KMO,ENCFF615KKV,ENCFF061KMO_ENCFF615KKV,pqm-1-celegans,680
ce531,ENCFF446YZQ,ENCFF678GDT,ENCFF446YZQ_ENCFF678GDT,pqm-1-celegans,680
ce532,ENCFF358GVN,ENCFF419DDR,ENCFF358GVN_ENCFF419DDR,pqm-1-celegans,680
ce533,ENCFF368QPF,ENCFF060ZEE,ENCFF368QPF_ENCFF060ZEE,pqm-1-celegans,80
ce534,ENCFF268SZW,ENCFF187JIZ,ENCFF268SZW_ENCFF187JIZ,pqm-1-celegans,80
ce535,ENCFF089IYD,ENCFF535SLT,ENCFF089IYD_ENCFF535SLT,pqm-1-celegans,50
ce536,ENCFF097TDG,ENCFF380KBW,ENCFF097TDG_ENCFF380KBW,pqm-1-celegans,50
ce537,ENCFF523LDZ,ENCFF156NYN,ENCFF523LDZ_ENCFF156NYN,pqm-1-celegans,380
ce538,ENCFF010DEF,ENCFF622YKS,ENCFF010DEF_ENCFF622YKS,pqm-1-celegans,380
ce539,ENCFF012PQE,ENCFF633CSA,ENCFF012PQE_ENCFF633CSA,pqm-1-celegans,650
ce540,ENCFF174HTK,ENCFF378KAX,ENCFF174HTK_ENCFF378KAX,pqm-1-celegans,650
ce541,ENCFF579IXO,ENCFF755RMI,ENCFF579IXO_ENCFF755RMI,Y22D7AL.16-celegans,80
ce542,ENCFF660OWD,ENCFF544ZAG,ENCFF660OWD_ENCFF544ZAG,gmeb-2-celegans,80
ce543,ENCFF585SJJ,ENCFF525IVK,ENCFF585SJJ_ENCFF525IVK,gmeb-2-celegans,80
ce544,ENCFF008NJS,ENCFF690OOT,ENCFF008NJS_ENCFF690OOT,gmeb-2-celegans,80
ce545,ENCFF163YCL,ENCFF083YKK,ENCFF163YCL_ENCFF083YKK,gmeb-2-celegans,680
ce546,ENCFF094CUV,ENCFF826SAI,ENCFF094CUV_ENCFF826SAI,gmeb-2-celegans,680
ce547,ENCFF968MJQ,ENCFF120IZO,ENCFF968MJQ_ENCFF120IZO,gmeb-2-celegans,680
ce548,ENCFF432RLP,ENCFF227YDA,ENCFF432RLP_ENCFF227YDA,gmeb-2-celegans,550
ce549,ENCFF120PPU,ENCFF139XWV,ENCFF120PPU_ENCFF139XWV,gmeb-2-celegans,550
ce550,ENCFF037NBH,ENCFF868TKT,ENCFF037NBH_ENCFF868TKT,gmeb-2-celegans,50
ce551,ENCFF464AIT,ENCFF654CTI,ENCFF464AIT_ENCFF654CTI,gmeb-2-celegans,50
ce552,ENCFF559HJJ,ENCFF656QCG,ENCFF559HJJ_ENCFF656QCG,Y22D7AL.16-celegans,850
ce553,ENCFF750YTR,ENCFF365HUW,ENCFF750YTR_ENCFF365HUW,Y22D7AL.16-celegans,850
ce554,ENCFF644KGM,ENCFF528UCE,ENCFF644KGM_ENCFF528UCE,Y22D7AL.16-celegans,880
ce555,ENCFF245GQZ,ENCFF075OQK,ENCFF245GQZ_ENCFF075OQK,Y22D7AL.16-celegans,880
ce556,ENCFF169XQT,ENCFF356QVR,ENCFF169XQT_ENCFF356QVR,Y22D7AL.16-celegans,50
ce557,ENCFF943HHV,ENCFF774API,ENCFF943HHV_ENCFF774API,Y22D7AL.16-celegans,50
ce558,ENCFF372WFW,ENCFF655ZMC,ENCFF372WFW_ENCFF655ZMC,Y22D7AL.16-celegans,650
ce559,ENCFF979RXQ,ENCFF067DVV,ENCFF979RXQ_ENCFF067DVV,Y22D7AL.16-celegans,650
ce560,ENCFF362YAG,ENCFF285IAW,ENCFF362YAG_ENCFF285IAW,Y22D7AL.16-celegans,680
ce561,ENCFF267ZMT,ENCFF455TTD,ENCFF267ZMT_ENCFF455TTD,Y22D7AL.16-celegans,680
ce562,ENCFF379IFO,ENCFF556WFJ,ENCFF379IFO_ENCFF556WFJ,gmeb-2-celegans,650
ce563,ENCFF291WNU,ENCFF532QBY,ENCFF291WNU_ENCFF532QBY,gmeb-2-celegans,650
ce564,ENCFF159PDG,ENCFF612LRW,ENCFF159PDG_ENCFF612LRW,gmeb-2-celegans,580
ce565,ENCFF801IMD,ENCFF051TSG,ENCFF801IMD_ENCFF051TSG,gmeb-2-celegans,580
ce566,ENCFF833VTA,ENCFF238HJQ,ENCFF833VTA_ENCFF238HJQ,gmeb-2-celegans,580
